epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3722,1.48721,2.49065,1.46321,0.39787,0.17433,0.07486,0.03361,1.96247,7.64346,2.25471,0.0701807,0.00331325,0.00331325
2,57.8732,1.57936,2.15663,1.55847,0.40698,0.29264,0.27872,0.15241,1.62958,2.80135,1.76768,0.0400491,0.00651498,0.00651498
3,84.4503,1.51547,2.00086,1.50831,0.41354,0.25096,0.10527,0.04476,1.96183,19.4521,2.04982,0.00978552,0.00958471,0.00958471
4,111.048,1.45724,1.88737,1.47095,0.61562,0.36403,0.44362,0.28351,1.41398,2.59621,1.44926,0.009406,0.009406,0.009406
5,137.07,1.42853,1.79689,1.4593,0.47359,0.47544,0.45036,0.27227,1.48126,1.9315,1.56979,0.009208,0.009208,0.009208
6,162.725,1.3438,1.71249,1.39363,0.44168,0.59092,0.40496,0.23743,1.38305,2.27645,1.43468,0.00901,0.00901,0.00901
7,188.419,1.28417,1.62109,1.35605,0.42877,0.52083,0.39969,0.28943,1.24799,1.83813,1.40471,0.008812,0.008812,0.008812
8,215.191,1.25789,1.50125,1.32748,0.61363,0.52582,0.53711,0.38276,1.17034,1.4284,1.30021,0.008614,0.008614,0.008614
9,242.614,1.22291,1.47818,1.31252,0.46491,0.51403,0.47494,0.33433,1.14635,1.64026,1.31719,0.008416,0.008416,0.008416
10,269.363,1.21166,1.50691,1.30818,0.52466,0.46269,0.44055,0.29646,1.18422,2.16283,1.28196,0.008218,0.008218,0.008218
11,296.019,1.195,1.4553,1.3009,0.41491,0.56745,0.4975,0.36745,1.21649,1.58821,1.34482,0.00802,0.00802,0.00802
12,322.721,1.16888,1.4106,1.28077,0.45761,0.57172,0.55017,0.42326,0.95806,1.33919,1.16894,0.007822,0.007822,0.007822
13,349.281,1.14172,1.3757,1.26257,0.53275,0.58931,0.58467,0.43138,1.03657,1.30627,1.2361,0.007624,0.007624,0.007624
14,375.909,1.12492,1.36516,1.25192,0.49238,0.54349,0.4878,0.36503,0.95977,1.47124,1.16276,0.007426,0.007426,0.007426
15,402.747,1.08429,1.27803,1.22638,0.62305,0.61408,0.59482,0.45274,0.95179,1.31892,1.15649,0.007228,0.007228,0.007228
16,429.206,1.07577,1.26915,1.21472,0.64448,0.52393,0.58513,0.43999,1.05638,1.28862,1.22392,0.00703,0.00703,0.00703
17,455.813,1.05868,1.24035,1.20311,0.56373,0.67023,0.60771,0.46568,0.94261,1.24259,1.15832,0.006832,0.006832,0.006832
18,482.363,1.02877,1.22381,1.18942,0.58736,0.56415,0.52809,0.42387,0.88119,1.28748,1.11212,0.006634,0.006634,0.006634
19,508.998,1.02502,1.20498,1.18915,0.49194,0.68439,0.58426,0.45033,0.9128,1.1648,1.15108,0.006436,0.006436,0.006436
20,536.329,1.00611,1.1742,1.18112,0.48575,0.62035,0.5236,0.38962,0.98496,1.3549,1.18988,0.006238,0.006238,0.006238
21,563.199,0.99568,1.16675,1.17508,0.4421,0.62323,0.53627,0.40877,0.9408,1.28457,1.13861,0.00604,0.00604,0.00604
22,588.873,1.00617,1.17433,1.18013,0.52294,0.54718,0.58279,0.44695,0.9416,1.21889,1.14353,0.005842,0.005842,0.005842
23,615.426,0.95535,1.12283,1.14866,0.45092,0.6779,0.57033,0.44285,0.86039,1.28845,1.09113,0.005644,0.005644,0.005644
24,642.794,0.96439,1.12354,1.15593,0.57542,0.56006,0.60576,0.47068,0.86168,1.13972,1.09894,0.005446,0.005446,0.005446
25,669.688,0.94812,1.09238,1.14621,0.62691,0.60574,0.62779,0.48572,0.90369,1.13851,1.11522,0.005248,0.005248,0.005248
26,696.367,0.94947,1.09767,1.14577,0.55973,0.64608,0.60658,0.48403,0.85086,1.22616,1.09985,0.00505,0.00505,0.00505
27,723.42,0.94545,1.07558,1.14132,0.49848,0.65654,0.59742,0.47562,0.80406,1.12203,1.06207,0.004852,0.004852,0.004852
28,750.434,0.92945,1.07541,1.1324,0.62012,0.57033,0.62982,0.50634,0.83597,1.0823,1.07768,0.004654,0.004654,0.004654
29,776.921,0.9056,1.02708,1.12026,0.49849,0.72198,0.60662,0.48843,0.79646,1.1216,1.068,0.004456,0.004456,0.004456
30,803.794,0.92163,1.05508,1.13199,0.5902,0.60658,0.59753,0.47422,0.82345,1.16028,1.07189,0.004258,0.004258,0.004258
31,830.469,0.90987,1.04252,1.12555,0.60384,0.60809,0.57035,0.46327,0.79621,1.14835,1.06936,0.00406,0.00406,0.00406
32,857.046,0.89034,1.02202,1.12254,0.65806,0.62659,0.654,0.52538,0.79353,0.99632,1.05936,0.003862,0.003862,0.003862
33,883.883,0.88275,0.99364,1.10721,0.65882,0.65805,0.66555,0.55706,0.75206,1.00683,1.03321,0.003664,0.003664,0.003664
34,910.557,0.88074,1.01811,1.10897,0.63046,0.68316,0.66657,0.53614,0.78688,1.08482,1.06284,0.003466,0.003466,0.003466
35,937.006,0.8638,0.97852,1.1015,0.6483,0.66899,0.61394,0.517,0.76312,1.06706,1.03417,0.003268,0.003268,0.003268
36,963.615,0.86143,0.96573,1.10009,0.5996,0.69723,0.67147,0.53484,0.77911,0.98122,1.0416,0.00307,0.00307,0.00307
37,990.241,0.8442,0.93974,1.08049,0.62506,0.65991,0.65841,0.51972,0.81185,1.03772,1.07985,0.002872,0.002872,0.002872
38,1016.82,0.8321,0.94694,1.07813,0.69837,0.62613,0.69518,0.55897,0.78201,0.92924,1.03533,0.002674,0.002674,0.002674
39,1044.25,0.82121,0.90658,1.07606,0.5197,0.64672,0.60066,0.49614,0.73876,1.07303,1.03437,0.002476,0.002476,0.002476
40,1070.96,0.79995,0.88959,1.06735,0.5526,0.73824,0.64394,0.52284,0.76721,1.00359,1.02494,0.002278,0.002278,0.002278
41,1107.72,0.75351,0.81984,1.03843,0.73594,0.62782,0.66808,0.54391,0.77129,0.9812,1.0483,0.00208,0.00208,0.00208
42,1133.94,0.7534,0.78295,1.03355,0.54936,0.75016,0.63738,0.52921,0.74304,1.00616,1.0184,0.001882,0.001882,0.001882
43,1160.15,0.70973,0.75141,1.02063,0.59458,0.76652,0.68947,0.5563,0.74311,0.97475,1.03203,0.001684,0.001684,0.001684
44,1186.28,0.69501,0.72161,1.01238,0.68459,0.66054,0.672,0.55047,0.76389,1.0115,1.02444,0.001486,0.001486,0.001486
45,1212.66,0.68336,0.70189,1.00305,0.61994,0.71652,0.66399,0.56011,0.70587,0.99787,0.9959,0.001288,0.001288,0.001288
46,1238.69,0.66804,0.67284,0.98871,0.63492,0.64657,0.67599,0.57075,0.70619,0.9716,1.0075,0.00109,0.00109,0.00109
47,1264.82,0.65277,0.64827,0.98692,0.5925,0.71722,0.70147,0.58496,0.6864,0.91453,0.98949,0.000892,0.000892,0.000892
48,1290.89,0.61926,0.6158,0.9728,0.69517,0.64432,0.68717,0.58356,0.67331,0.95931,0.98439,0.000694,0.000694,0.000694
49,1317.18,0.60936,0.60619,0.96439,0.6424,0.6683,0.69202,0.58984,0.66906,0.92521,0.98121,0.000496,0.000496,0.000496
50,1342.15,0.59121,0.57699,0.95904,0.66743,0.69946,0.69521,0.58977,0.6669,0.93539,0.97752,0.000298,0.000298,0.000298
