epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9013,1.58342,2.47122,1.4201,0.39572,0.39519,0.18926,0.08746,1.7026,7.52735,1.74649,0.0701807,0.00331325,0.00331325
2,49.6928,1.65649,2.0995,1.52733,0.18424,0.41291,0.23267,0.12937,1.61172,4.18637,1.64985,0.0400491,0.00651498,0.00651498
3,72.1547,1.63067,1.99005,1.52868,0.52503,0.27338,0.2506,0.15329,1.79225,5.00837,1.81619,0.00978552,0.00958471,0.00958471
4,94.5907,1.54254,1.87189,1.46507,0.56937,0.27223,0.31689,0.16104,1.77319,2.81714,1.74788,0.009406,0.009406,0.009406
5,116.845,1.47279,1.79663,1.43464,0.31693,0.46975,0.41999,0.28298,1.41755,1.99719,1.42749,0.009208,0.009208,0.009208
6,138.802,1.41876,1.67719,1.3901,0.35169,0.54243,0.43525,0.28806,1.35391,1.98408,1.43808,0.00901,0.00901,0.00901
7,160.509,1.37858,1.60795,1.35836,0.64078,0.49405,0.54073,0.36842,1.27792,1.622,1.36261,0.008812,0.008812,0.008812
8,182.914,1.34071,1.53226,1.33974,0.51858,0.5363,0.54725,0.41006,1.14951,1.58445,1.29203,0.008614,0.008614,0.008614
9,205.28,1.30483,1.47692,1.31156,0.6485,0.59083,0.59488,0.42257,1.13713,1.40553,1.28836,0.008416,0.008416,0.008416
10,227.228,1.2966,1.46259,1.31659,0.77686,0.46993,0.55475,0.40539,1.13003,1.37452,1.23531,0.008218,0.008218,0.008218
11,249.266,1.26069,1.42669,1.28754,0.66477,0.54711,0.58157,0.41745,1.11322,1.35139,1.2314,0.00802,0.00802,0.00802
12,271.452,1.25316,1.3928,1.28047,0.62434,0.55236,0.55965,0.4007,1.15013,1.40602,1.28141,0.007822,0.007822,0.007822
13,293.262,1.2345,1.37917,1.26701,0.51,0.59992,0.54828,0.41304,1.10681,1.39507,1.24932,0.007624,0.007624,0.007624
14,315.214,1.21097,1.37472,1.26761,0.45683,0.60567,0.55676,0.41947,1.03392,1.46845,1.21398,0.007426,0.007426,0.007426
15,337.177,1.17838,1.28981,1.23737,0.49414,0.54644,0.50632,0.38251,1.06781,2.07086,1.27126,0.007228,0.007228,0.007228
16,359.692,1.15099,1.26469,1.22448,0.63615,0.61117,0.57708,0.42167,1.04382,1.35823,1.19138,0.00703,0.00703,0.00703
17,382.404,1.16939,1.28047,1.23295,0.511,0.64429,0.59953,0.43994,1.02422,1.25779,1.19015,0.006832,0.006832,0.006832
18,405.449,1.14436,1.27403,1.22152,0.53717,0.60647,0.60658,0.45347,1.00575,1.25657,1.17384,0.006634,0.006634,0.006634
19,428.053,1.11487,1.22586,1.20952,0.71363,0.50915,0.62554,0.46029,1.00956,1.2967,1.21765,0.006436,0.006436,0.006436
20,450.57,1.1329,1.26435,1.22153,0.59821,0.49331,0.56905,0.43709,1.03371,1.53531,1.22754,0.006238,0.006238,0.006238
21,473.519,1.10176,1.19786,1.2029,0.71703,0.52904,0.60887,0.47755,0.96016,1.21147,1.1625,0.00604,0.00604,0.00604
22,496.411,1.08271,1.18321,1.18793,0.59028,0.60886,0.58331,0.40584,1.07696,1.33137,1.18801,0.005842,0.005842,0.005842
23,518.366,1.06121,1.14676,1.17698,0.57402,0.58953,0.61357,0.47422,0.91889,1.18665,1.14318,0.005644,0.005644,0.005644
24,540.426,1.04881,1.13971,1.16968,0.5544,0.65242,0.64533,0.49194,0.95475,1.13514,1.15187,0.005446,0.005446,0.005446
25,562.675,1.03645,1.12043,1.16149,0.63325,0.60098,0.62023,0.48708,0.88549,1.21672,1.12265,0.005248,0.005248,0.005248
26,585.591,1.03687,1.13332,1.16427,0.53228,0.60302,0.5684,0.44923,0.90347,1.2519,1.11186,0.00505,0.00505,0.00505
27,610.435,1.02856,1.09949,1.15486,0.55452,0.72511,0.66337,0.49252,0.98716,1.14329,1.18699,0.004852,0.004852,0.004852
28,633.311,1.01027,1.0991,1.15122,0.6373,0.65693,0.65806,0.50897,0.9333,1.1512,1.16145,0.004654,0.004654,0.004654
29,656.629,1.00129,1.06568,1.14381,0.64406,0.58031,0.64872,0.49771,0.91788,1.1847,1.13644,0.004456,0.004456,0.004456
30,679.696,1.00106,1.06977,1.14106,0.68347,0.60832,0.64105,0.50164,0.88541,1.11694,1.12376,0.004258,0.004258,0.004258
31,702.026,0.98859,1.05762,1.13699,0.4998,0.68861,0.56938,0.45558,0.87947,1.24393,1.11326,0.00406,0.00406,0.00406
